id,name,osm_name,type,capacity_mw,province,system,status,operator,method,lat,lon,osm_id,osm_source,review_flag,source_id,capacity_unit,role,roleDescription,roleConfidence,roleReason
GEN-KLM-0001,PLTD Siantan Kalbar,PLTD Siantan Kalbar,PLTD,30.0,Kalimantan Barat,Khatulistiwa,existing,Perusahaan Listrik Negara,combustion,-0.001087,109.3276215,way/284402692,oil,,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-KLM-0002,PLTU MSW,PLTU MSW,PLTU,60.0,Kalimantan Selatan,Kalselteng,existing,,combustion,-2.1585393,115.4458201,way/353964382,coal,,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-KLM-0003,PLTD Gunung Malang,PLTD Gunung Malang,PLTD,16.0,Kalimantan Timur,Mahakam,existing,Perusahaan Listrik Negara,,-1.2625591,116.8413592,way/373369943,diesel,,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-KLM-0004,PLTD & PLTG Trisakti,PLTD & PLTG Trisakti,PLTD,111.0,Kalimantan Selatan,Kalselteng,existing,PLN,combustion,-3.3102183,114.5703126,way/416518494,diesel;gas,,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-KLM-0005,PLTGU Tanjung Batu,PLTGU Tanjung Batu,PLTGU,60.0,Kalimantan Timur,Mahakam,existing,,,-0.3823542,117.0519962,way/450527117,gas,,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-KLM-0006,PLTU Embalut,PLTU Embalut,PLTU,110.0,Kalimantan Timur,Mahakam,existing,,combustion,-0.3715316,117.062746,way/450527118,coal,,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-KLM-0007,PTLD Batakan,PTLD Batakan,PLTD,4.0,Kalimantan Timur,Mahakam,existing,PLN,,-1.2386724,116.9503976,way/508067180,diesel,,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-KLM-0008,PLTU Sanggau,PLTU Sanggau,PLTU,17.0,Kalimantan Barat,Khatulistiwa,existing,Indonesia Power,combustion,0.0297497,110.555892,way/563399561,coal,,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-KLM-0009,PLTU Sintang,PLTU Sintang,PLTU,27.0,Kalimantan Barat,Khatulistiwa,existing,Indonesia Power,combustion,0.0739163,111.43339,way/563399562,coal,,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-KLM-0010,PLTU Kalbar-2,PLTU Kalbar-2,PLTU,55.0,Kalimantan Barat,Khatulistiwa,existing,Perusahaan Listrik Negara,combustion,0.8300932,108.863233,way/563399569,coal,,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-KLM-0011,PLTU Kaltim Teluk,PLTU Kaltim Teluk,PLTU,250.0,Kalimantan Timur,Mahakam,existing,,combustion,-1.1700853,116.7884605,way/573633098,coal,,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-KLM-0012,PLTU Asam Asam,PLTU Asam Asam,PLTU,260.0,Kalimantan Selatan,Kalselteng,existing,PLN,combustion,-3.9271515,115.1052189,way/611478867,coal,,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-KLM-0013,PLTD Kuala Kapuas,PLTD Kuala Kapuas,PLTD,10.0,Kalimantan Selatan,Kalselteng,existing,,combustion,-3.0123226,114.3727892,way/611547067,diesel,,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-KLM-0014,PLTD Seberang Barito,PLTD Seberang Barito,PLTD,45.0,Kalimantan Selatan,Kalselteng,existing,Perusahaan Listrik Negara,combustion,-3.2768161,114.5525672,way/611547068,diesel;gas,,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-KLM-0015,PLTD Maburai,PLTD Maburai,PLTD,5.0,Kalimantan Selatan,Kalselteng,existing,PLN,combustion,-2.1966964,115.4505238,way/611647727,diesel,,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-KLM-0016,PLTG Sambera,PLTG Sambera,PLTG,40.0,Kalimantan Timur,Mahakam,existing,,,-0.3161946,117.2924034,way/612348764,gas,,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-KLM-0017,PLTA Riam Kanan,PLTA Riam Kanan,PLTA,30.0,Kalimantan Selatan,Kalselteng,existing,PLN,water-storage,-3.5147851,115.0064707,way/613098761,hydro,,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-KLM-0018,PLTD Kahayan Baru,PLTD Kahayan Baru,PLTD,10.0,Kalimantan Tengah,Kalselteng,existing,,combustion,-2.1732838,113.8736172,way/613865135,diesel,,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-KLM-0020,PLTU Kalbar-1,PLTU Kalbar-1,PLTU,200.0,Kalimantan Barat,Khatulistiwa,existing,,combustion,0.8174175,108.843188,way/872005243,coal,,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-KLM-0021,PLTU Bengkayang,PLTU Bengkayang,PLTU,100.0,Kalimantan Barat,Khatulistiwa,existing,,combustion,0.8371708,108.8737929,way/872005244,coal,,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-KLM-0022,PLTU Parit Baru (FTP1),PLTU Parit Baru (FTP1),PLTU,100.0,Kalimantan Barat,Khatulistiwa,existing,Perusahaan Listrik Negara,combustion,0.0586762,109.2032589,way/919274063,coal,,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-KLM-0023,PLTMG Tanjung Selor,PLTMG Tanjung Selor,PLTMG,15.0,Kalimantan Utara,Mahakam,existing,,,2.8134715,117.3671633,way/943966216,gas,,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-KLM-0024,PLTD Sambaliung,PLTD Sambaliung,PLTD,10.0,Kalimantan Timur,Mahakam,existing,,,2.1575228,117.5113113,way/943966217,diesel,,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-KLM-0025,PLTU Tanjung Bara,PLTU Tanjung Bara,PLTU,64.0,Kalimantan Timur,Mahakam,existing,,,0.5403338,117.6357811,way/944504857,coal,,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-KLM-0026,PLTU Kaltim 2,PLTU Kaltim 2,PLTU,200.0,Kalimantan Timur,Mahakam,existing,,combustion,0.0548112,117.493966,way/944504860,coal,,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-KLM-0027,PLTU Muara Jawa,PLTU Muara Jawa,PLTU,55.0,Kalimantan Timur,Mahakam,existing,,,-0.7802248,117.1883726,way/945128872,coal,,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-KLM-0028,PLTGU Senipah,PLTGU Senipah,PLTGU,117.0,Kalimantan Timur,Mahakam,existing,,combustion,-0.9871918,117.1358469,way/945128875,gas,,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
