id,name,osm_name,type,capacity_mw,province,system,status,operator,method,lat,lon,osm_id,osm_source,review_flag,source_id,capacity_unit,role,roleDescription,roleConfidence,roleReason
GEN-SLW-0037,PLTU Jeneponto,PLTU Jeneponto,PLTU,250.0,Sulawesi Selatan,Sulselrabar,existing,,combustion,-5.6181198,119.5501444,way/905955777,coal,,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-SLW-0038,PLTU Takalar (Punagaya-2),PLTU Takalar (Punagaya-2),PLTU,200.0,Sulawesi Selatan,Sulselrabar,existing,,combustion,-5.6253685,119.5500928,way/941566464,coal,,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-SLW-0039,PLTU Anggrek,PLTU Anggrek,PLTU,50.0,Gorontalo,Sulutgo,existing,,combustion,0.8507011,122.7965578,way/942620063,coal,,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-SLW-0040,PLTU Sulbagut 3,PLTU Sulbagut 3,PLTU,100.0,Gorontalo,Sulutgo,existing,,,0.4346558,123.1353852,way/942620064,coal,,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-SLW-0041,PLTG Gorontalo,PLTG Gorontalo,PLTG,100.0,Gorontalo,Sulutgo,existing,,,0.4662618,122.0060992,way/942620065,gas,,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-SLW-0042,PLTU Nii Tanasa,PLTU Nii Tanasa (20 MW) & PLTMG Kendari (58 MW),PLTU,20.0,Sulawesi Tenggara,Sulselrabar,existing,,combustion,-3.8950056,122.5374029,way/943189957,coal;oil,NO_CAPACITY,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-SLW-0043,PLTU Kendari 3 DSSA,PLTU Kendari 3 DSSA,PLTU,100.0,Sulawesi Tenggara,Sulselrabar,existing,,,-4.050323,122.654079,way/943189958,coal,,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-SLW-0044,PLTU Amurang,PLTU Amurang,PLTU,60.0,Sulawesi Utara,Sulutgo,existing,,,1.1833413,124.4793945,way/943309157,coal,,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-SLW-0045,PLTD Lopana,PLTD Lopana,PLTD,10.0,Sulawesi Utara,Sulutgo,existing,,,1.2202036,124.6035024,way/943309158,diesel,,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-SLW-0046,PLTA Tanggari II,PLTA Tanggari II,PLTA,19.0,Sulawesi Utara,Sulutgo,existing,,,1.3646916,124.9379477,way/943309161,hydro,,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-SLW-0047,PLTA Tanggari I,PLTA Tanggari I,PLTA,18.0,Sulawesi Utara,Sulutgo,existing,,,1.3488147,124.9234503,way/943309162,hydro,,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-SLW-0048,PLTS Likupang,PLTS Likupang,PLTS,15.0,Sulawesi Utara,Sulutgo,existing,,photovoltaic,1.6554339,125.0944729,way/943309164,solar,,OSM-overpass,MWp,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-SLW-0049,PLTU Sulut 3,PLTU Sulut 3,PLTU,100.0,Sulawesi Utara,Sulutgo,existing,,,1.3735403,125.0852412,way/943309171,coal,,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-SLW-0050,PLTU Mamuju,PLTU Mamuju,PLTU,50.0,Sulawesi Barat,Sulselrabar,existing,,combustion,-2.4708695,119.1458523,way/1003491141,coal,,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-SLW-0051,PLTU Palu,PLTU Palu,PLTU,30.0,Sulawesi Tengah,Sulteng,existing,,combustion,-0.7333093,119.8558081,way/1003539536,coal,,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
