ruptl_id,name,voltage_kv,action_type,capacity_mva,target_cod_year,status,province,classification,baseline_id,baseline_name,source_page,source_table,override_applied,override_id,override_decision,override_by,override_date,override_reason
RUPTL-KALIMANTAN-GI-0001,Tayan (arah Sandai),150,Extension,2.0,2025,Construction,Kalimantan Barat,NEW_BUILD,,,741,Tabel A11.16,,,,,,
RUPTL-KALIMANTAN-GI-0002,Ambawang,150/20,New,60.0,2025,Planned,Kalimantan Barat,NEW_BUILD,,,741,Tabel A11.16,,,,,,
RUPTL-KALIMANTAN-GI-0003,Air Upas,150/20,New,30.0,2025,Committed,Kalimantan Barat,NEW_BUILD,,,741,Tabel A11.16,,,,,,
RUPTL-KALIMANTAN-GI-0004,Nanga Pinoh,150/20,New,30.0,2025,Committed,Kalimantan Barat,NEW_BUILD,,,741,Tabel A11.16,,,,,,
RUPTL-KALIMANTAN-GI-0005,Cendana/(Eks.Jeruju),150/20,Extension,60.0,2025,Committed,Kalimantan Barat,NEW_BUILD,,,741,Tabel A11.16,,,,,,
RUPTL-KALIMANTAN-GI-0006,Sekayam (Eks.Entikong),150/20,New,30.0,2026,Committed,Kalimantan Barat,NEW_BUILD,,,741,Tabel A11.16,,,,,,
RUPTL-KALIMANTAN-GI-0007,Putussibau,150/20,New,30.0,2026,Committed,Kalimantan Barat,NEW_BUILD,,,741,Tabel A11.16,,,,,,
RUPTL-KALIMANTAN-GI-0008,Simpang Tanjung,150/20,New,30.0,2026,Committed,Kalimantan Barat,NEW_BUILD,,,741,Tabel A11.16,,,,,,
RUPTL-KALIMANTAN-GI-0009,Simpang Silat,150/20,New,30.0,2026,Committed,Kalimantan Barat,NEW_BUILD,,,741,Tabel A11.16,,,,,,
RUPTL-KALIMANTAN-GI-0010,Badau,150/20,New,30.0,2027,Committed,Kalimantan Barat,NEW_BUILD,,,741,Tabel A11.16,,,,,,
RUPTL-KALIMANTAN-GI-0011,Tayan (Arah PLTS Kalbar),150,Extension,2.0,2028,Planned,Kalimantan Barat,NEW_BUILD,,,741,Tabel A11.16,,,,,,
RUPTL-KALIMANTAN-GI-0012,Ambawang (arah Seiraya),150,Extension,2.0,2028,Planned,Kalimantan Barat,NEW_BUILD,,,741,Tabel A11.16,,,,,,
RUPTL-KALIMANTAN-GI-0013,Sei Raya (arah Ambawang),150,Extension,2.0,2028,Planned,Kalimantan Barat,NEW_BUILD,,,741,Tabel A11.16,,,,,,
RUPTL-KALIMANTAN-GI-0014,Ambawang (arah Rasau),150,Extension,2.0,2028,Planned,Kalimantan Barat,NEW_BUILD,,,741,Tabel A11.16,,,,,,
RUPTL-KALIMANTAN-GI-0015,Kota Baru (Arah Rasau),150,Extension,2.0,2028,Planned,Kalimantan Barat,NEW_BUILD,,,741,Tabel A11.16,,,,,,
RUPTL-KALIMANTAN-GI-0016,Rasau,150/20,New,60.0,2028,Planned,Kalimantan Barat,NEW_BUILD,,,741,Tabel A11.16,,,,,,
RUPTL-KALIMANTAN-GI-0017,Rasau (arah Ambawang),150,Extension,2.0,2028,Planned,Kalimantan Barat,NEW_BUILD,,,741,Tabel A11.16,,,,,,
RUPTL-KALIMANTAN-GI-0018,Tepuai,150/20,New,30.0,2028,Planned,Kalimantan Barat,NEW_BUILD,,,741,Tabel A11.16,,,,,,
RUPTL-KALIMANTAN-GI-0019,Kijing,150/20,New,60.0,2028,Planned,Kalimantan Barat,NEW_BUILD,,,741,Tabel A11.16,,,,,,
RUPTL-KALIMANTAN-GI-0020,Ketapang,150/20,Extension,60.0,2029,Planned,Kalimantan Barat,EXISTING_EXT,GI-KLM-0016,GI KETAPANG,741,Tabel A11.16,,,,,,
