id,system,voltage_class,voltage_kv_max,voltage_kv_all,length_km,osm_id,osm_voltage,source_id
TRM-SLW-0374,Sulselrabar,150 kV,150.0,150,0.076,way/1412511255,150000,OSM-overpass
TRM-SLW-0375,Sulselrabar,150 kV,150.0,150,0.073,way/1412511256,150000,OSM-overpass
TRM-SLW-0376,Sulselrabar,150 kV,150.0,150,0.091,way/1412511257,150000,OSM-overpass
TRM-SLW-0377,Sulselrabar,150 kV,150.0,150,0.092,way/1412511258,150000,OSM-overpass
TRM-SLW-0378,Sulselrabar,150 kV,150.0,150,0.099,way/1412511259,150000,OSM-overpass
TRM-SLW-0379,Sulselrabar,150 kV,150.0,150,0.097,way/1412511260,150000,OSM-overpass
TRM-SLW-0380,Sulselrabar,150 kV,150.0,150,0.04,way/1412511261,150000,OSM-overpass
TRM-SLW-0381,Sulteng,150 kV,150.0,150,0.06,way/1416911385,150000,OSM-overpass
TRM-SLW-0382,Sulteng,150 kV,150.0,150,0.062,way/1416911386,150000,OSM-overpass
TRM-SLW-0383,Sulteng,150 kV,150.0,150,0.051,way/1416911387,150000,OSM-overpass
TRM-SLW-0384,Sulteng,150 kV,150.0,150,0.056,way/1416911388,150000,OSM-overpass
TRM-SLW-0385,Sulteng,150 kV,150.0,150,13.601,way/1505664372,150000,OSM-overpass
TRM-SLW-0386,Sulteng,150 kV,150.0,150,4.672,way/1505664373,150000,OSM-overpass
TRM-SLW-0387,Sulteng,150 kV,150.0,150,8.526,way/1505664374,150000,OSM-overpass
TRM-SLW-0388,Sulteng,150 kV,150.0,150,0.834,way/1505664375,150000,OSM-overpass
TRM-SLW-0389,Sulteng,150 kV,150.0,150,5.668,way/1505664376,150000,OSM-overpass
TRM-SLW-0390,Sulteng,150 kV,150.0,150,1.896,way/1505664757,150000,OSM-overpass
