id,name,type,capacity_mw,province,system,status,operator,method,lat,lon,osm_id,osm_source,review_flag,source_id
GEN-JMB-0126,Medco Energi Geothermal,PLTP,,Jawa Timur,Jamali,existing,,,-8.062528,114.1565068,way/1218099429,geothermal,NO_CAPACITY,OSM-overpass
GEN-JMB-0127,Medco Energi Geothermal,PLTP,,Jawa Timur,Jamali,existing,,,-8.0677325,114.1750469,way/1218099430,geothermal,NO_CAPACITY,OSM-overpass
GEN-JMB-0128,Medco Energi Geothermal,PLTP,,Jawa Timur,Jamali,existing,,,-8.0663621,114.1727509,way/1218099431,geothermal,NO_CAPACITY,OSM-overpass
GEN-JMB-0129,Medco Energi Geothermal,PLTP,,Jawa Timur,Jamali,existing,,,-8.061151,114.1705227,way/1218099432,geothermal,NO_CAPACITY,OSM-overpass
GEN-JMB-0130,PLTP Blawan Ijen,PLTP,110.0,Jawa Timur,Jamali,existing,Medco Cahaya Geothermal,,-8.0566242,114.1675281,way/1218099433,geothermal,,OSM-overpass
GEN-JMB-0131,Medco Energi Geothermal,PLTP,,Jawa Timur,Jamali,existing,,,-8.0504984,114.1673845,way/1218099434,geothermal,NO_CAPACITY,OSM-overpass
GEN-JMB-0132,Tuban Aromatics Power Station,PLTG,66.0,Jawa Timur,Jamali,existing,,,-6.7691112,111.9528584,way/1218911487,gas,,OSM-overpass
GEN-JMB-0133,PLTSa Putri Cempo,PLTSa,8.0,Jawa Tengah,Jamali,existing,,combustion,-7.5359051,110.8541558,way/1221584228,waste,,OSM-overpass
GEN-JMB-0134,(unnamed),PLTS,,Jawa Timur,Jamali,existing,,photovoltaic,-7.9174508,112.6355628,way/1221951849,solar,NO_NAME;NO_CAPACITY,OSM-overpass
GEN-JMB-0135,PLTA Golang,PLTA,2.7,Jawa Timur,Jamali,existing,PT Pembangkitan Jawa Bali,,-7.7045271,111.6600665,way/1256159490,hydro,,OSM-overpass
GEN-JMB-0136,PLTA Giringan,PLTA,2.2,Jawa Timur,Jamali,existing,PT Pembangkitan Jawa Bali,,-7.7218138,111.6746188,way/1256159501,hydro,,OSM-overpass
GEN-JMB-0137,PLTS Muara Nusa Dua,PLTS,0.1,Bali,Jamali,existing,,,-8.727457,115.1892284,way/1270763074,solar,,OSM-overpass
GEN-JMB-0138,Cemindo Gemilang power station,PLTU,,Banten,Jamali,existing,,combustion,-6.9505541,106.2502233,way/1304735535,coal,NO_CAPACITY,OSM-overpass
GEN-JMB-0139,Fajar Coal power station,PLTU,55.0,Jawa Barat,Jamali,existing,,combustion,-6.2732997,107.1239765,way/1305099313,coal,,OSM-overpass
GEN-JMB-0140,Fajar Gas power station,PLTG,70.0,Jawa Barat,Jamali,existing,,combustion,-6.2751857,107.1219423,way/1305099315,gas,,OSM-overpass
GEN-JMB-0141,(unnamed),Unknown,,Jawa Timur,Jamali,existing,Indonesia Power,,-6.8829864,112.0289678,way/1309109284,,NO_NAME;NO_CAPACITY;NO_TYPE,OSM-overpass
GEN-JMB-0142,PLTA Wonorejo,PLTA,6.5,Jawa Timur,Jamali,existing,PT Pembangkitan Jawa Bali,,-8.0219779,111.80537,way/1314006093,hydro,,OSM-overpass
GEN-JMB-0143,PLTA Ngebel,PLTA,2.2,Jawa Timur,Jamali,existing,PT Pembangkitan Jawa Bali,,-7.8147479,111.6204173,way/1314006094,hydro,,OSM-overpass
GEN-JMB-0144,PLTU Pindodeli 2,PLTU,50.0,Jawa Barat,Jamali,existing,PT Dian Swastatika Sentosa,combustion,-6.3844931,107.343123,way/1323444702,coal,,OSM-overpass
GEN-JMB-0145,Oude Waterkrachtcentrale,PLTA,,Jawa Barat,Jamali,existing,,,-6.5619109,107.6855978,way/1327067558,hydro,NO_CAPACITY,OSM-overpass
GEN-JMB-0146,PLTD Legon Bajak,PLTD,4.4,Other Jamali,Jamali,existing,,combustion,-5.7880762,110.4753305,way/1328731098,diesel,,OSM-overpass
GEN-JMB-0147,PLTS Pulau Nyamuk,PLTS,0.11,Other Jamali,Jamali,existing,PT PLN,photovoltaic,-5.8185444,110.1868241,way/1328731099,solar,,OSM-overpass
GEN-JMB-0148,PLTS Pulau Parang,PLTS,0.14,Other Jamali,Jamali,existing,PT PLN,photovoltaic,-5.7462235,110.2416875,way/1328731111,solar,,OSM-overpass
GEN-JMB-0149,PLTS Pulau Genting,PLTS,0.04,Other Jamali,Jamali,existing,PT PLN,photovoltaic,-5.8467455,110.6045884,way/1328731127,solar,,OSM-overpass
GEN-JMB-0150,PLTS Bawean,PLTS,0.41,Jawa Timur,Jamali,existing,,photovoltaic,-5.8477929,112.6456552,way/1328732316,solar,,OSM-overpass
GEN-JMB-0151,PLTMG Bawean,PLTMG,3.0,Jawa Timur,Jamali,existing,,combustion,-5.8481303,112.6461179,way/1328732318,gas,,OSM-overpass
GEN-JMB-0152,PLTD Kutampi,PLTD,11.7,Bali,Jamali,existing,,combustion,-8.6753622,115.5545144,way/1330349516,diesel,,OSM-overpass
GEN-JMB-0153,PLTS Nusa Penida,PLTS,3.5,Bali,Jamali,existing,,photovoltaic,-8.7132835,115.5834966,way/1330349528,solar,,OSM-overpass
GEN-JMB-0154,PLTG Pesanggaran,PLTG,200.0,Bali,Jamali,existing,,combustion,-8.719736,115.2119488,way/1330737251,gas,,OSM-overpass
GEN-JMB-0155,(unnamed),PLTP,,Jawa Barat,Jamali,existing,,,-7.1552134,107.7703629,way/1349227479,geothermal,NO_NAME;NO_CAPACITY,OSM-overpass
GEN-JMB-0156,(unnamed),PLTP,,Jawa Barat,Jamali,existing,,,-7.1489507,107.7730666,way/1349227480,geothermal,NO_NAME;NO_CAPACITY,OSM-overpass
GEN-JMB-0157,(unnamed),PLTP,,Jawa Barat,Jamali,existing,,,-7.1389339,107.7953947,way/1349709972,geothermal,NO_NAME;NO_CAPACITY,OSM-overpass
GEN-JMB-0158,(unnamed),PLTP,,Jawa Barat,Jamali,existing,,,-7.1395407,107.7923892,way/1349709973,geothermal,NO_NAME;NO_CAPACITY,OSM-overpass
GEN-JMB-0159,(unnamed),PLTP,,Jawa Barat,Jamali,existing,,,-7.1514237,107.7963039,way/1349718127,geothermal,NO_NAME;NO_CAPACITY,OSM-overpass
GEN-JMB-0160,(unnamed),PLTP,,Jawa Barat,Jamali,existing,,,-7.149425,107.8012392,way/1349718128,geothermal,NO_NAME;NO_CAPACITY,OSM-overpass
GEN-JMB-0161,(unnamed),PLTP,,Jawa Barat,Jamali,existing,,,-7.1452627,107.8018387,way/1349718129,geothermal,NO_NAME;NO_CAPACITY,OSM-overpass
GEN-JMB-0162,(unnamed),PLTP,,Jawa Barat,Jamali,existing,,,-7.1244262,107.800523,way/1349718130,geothermal,NO_NAME;NO_CAPACITY,OSM-overpass
GEN-JMB-0163,(unnamed),PLTP,,Jawa Barat,Jamali,existing,,,-7.1313727,107.7998592,way/1349718131,geothermal,NO_NAME;NO_CAPACITY,OSM-overpass
GEN-JMB-0164,Genset Rumil,PLTD,,Jawa Tengah,Jamali,existing,Rumil UNNES,combustion,-7.0492388,110.3940688,way/1352261425,diesel,NO_CAPACITY,OSM-overpass
GEN-JMB-0165,(unnamed),PLTP,,Jawa Barat,Jamali,existing,,,-7.231096,107.7326994,way/1352369452,geothermal,NO_NAME;NO_CAPACITY,OSM-overpass
GEN-JMB-0166,(unnamed),PLTP,,Jawa Barat,Jamali,existing,,,-7.2278796,107.7273558,way/1352369453,geothermal,NO_NAME;NO_CAPACITY,OSM-overpass
GEN-JMB-0167,(unnamed),PLTP,,Jawa Barat,Jamali,existing,,,-7.2248283,107.718434,way/1352369454,geothermal,NO_NAME;NO_CAPACITY,OSM-overpass
GEN-JMB-0168,(unnamed),PLTP,,Jawa Barat,Jamali,existing,,,-7.2253338,107.7099261,way/1352369455,geothermal,NO_NAME;NO_CAPACITY,OSM-overpass
GEN-JMB-0169,(unnamed),PLTP,,Jawa Barat,Jamali,existing,,,-7.2315098,107.7163607,way/1352369456,geothermal,NO_NAME;NO_CAPACITY,OSM-overpass
GEN-JMB-0170,(unnamed),Unknown,,Jawa Timur,Jamali,existing,Indonesia Power,,-6.8763607,112.0216481,way/1364748276,,NO_NAME;NO_CAPACITY;NO_TYPE,OSM-overpass
GEN-JMB-0171,(unnamed),PLTS,,Jawa Barat,Jamali,existing,,photovoltaic,-7.2797468,106.5036262,way/1366024639,solar,NO_NAME;NO_CAPACITY,OSM-overpass
GEN-JMB-0172,PLTA Dago,PLTA,,Jawa Barat,Jamali,existing,,,-6.8684298,107.6142477,way/1366076702,hydro,NO_CAPACITY,OSM-overpass
GEN-JMB-0173,PLTA Parakan Kondang,PLTA,,Jawa Barat,Jamali,existing,,run-of-the-river,-6.8340329,108.1024671,way/1366700497,hydro,NO_CAPACITY,OSM-overpass
GEN-JMB-0174,PLTA Kedungombo,PLTA,22.5,Jawa Tengah,Jamali,existing,Indonesia Power,water-storage,-7.2560001,110.8377765,way/1367212226,hydro,,OSM-overpass
GEN-JMB-0175,PLTA Sempor,PLTA,,Jawa Tengah,Jamali,existing,Indonesia Power,water-storage,-7.5679524,109.4874321,way/1367420534,hydro,NO_CAPACITY,OSM-overpass
GEN-JMB-0176,PLTA Wonogiri,PLTA,12.4,Jawa Tengah,Jamali,existing,Indonesia Power,water-storage,-7.8372631,110.9263612,way/1367427420,hydro,,OSM-overpass
