id,name,type,capacity_mw,province,region_key,status,target_cod_year,cod_re_base,cod_ared,developer,source_table,source_page,lat,lon,coord_source,coord_confidence
RUPTL-KALIMANTAN-P-0029,Kalimantan (Kuota) Tersebar,?,5.0,Kalimantan Barat,kalimantan,Planned,2033,2033,,IPP,Tabel A11.11,735,-0.118022,111.336981,province_centroid,low
RUPTL-KALIMANTAN-P-0030,Kalimantan (Kuota) Tersebar,?,1.2,Kalimantan Barat,kalimantan,Planned,2033,2033,,IPP,Tabel A11.11,735,-0.438580,111.423097,province_centroid,low
RUPTL-KALIMANTAN-P-0031,PLTN Kalimantan (Kuota) tersebar New EBT*),PLTN,250.0,Kalimantan Barat,kalimantan,Planned,,,,IPP,,736,-0.475855,111.654783,province_centroid,low
RUPTL-KALIMANTAN-P-0032,Khatulistiwa (Kuota) Tersebar,PLTA,100.0,Kalimantan Barat,kalimantan,Planned,2033,2033,,IPP,,736,-0.393979,111.660880,province_centroid,low
RUPTL-KALIMANTAN-P-0033,Khatulistiwa (Kuota) Tersebar,PLTA,100.0,Kalimantan Barat,kalimantan,Planned,2034,2034,,IPP,,736,-0.399238,111.519221,province_centroid,low
RUPTL-KALIMANTAN-P-0034,Lisdes Kalbar,PLTS,1.9,Kalimantan Barat,kalimantan,Planned,2025,2025,,PLN,,736,-0.001087,109.327622,gazetteer_generator:GEN-KLM-0001,high
RUPTL-KALIMANTAN-P-0035,Dedieselisasi,PLTS,21.6,Kalimantan Barat,kalimantan,Planned,2027,2027,,IPP,,736,-0.318978,111.572592,province_centroid,low
RUPTL-KALIMANTAN-P-0036,Tanah Laut,PLTB,70.0,Kalimantan Selatan,kalimantan,Planned,2026,2026,,IPP,Tabel A12.10,751,-3.235936,115.145818,province_centroid,low
RUPTL-KALIMANTAN-P-0037,Kalselteng*),PLTGU,100.0,Kalimantan Selatan,kalimantan,Planned,2027,2027,,SH-PLN,Tabel A12.10,751,-2.944322,115.265998,province_centroid,low
RUPTL-KALIMANTAN-P-0038,Kalseltengtimra (Kuota) Tersebar,PLTM,2.7,Kalimantan Selatan,kalimantan,Planned,2029,2029,,IPP,Tabel A12.10,751,-2.953147,115.269022,province_centroid,low
RUPTL-KALIMANTAN-P-0039,Kalimantan-1,PLTGU,150.0,Kalimantan Selatan,kalimantan,Planned,2028,2028,,SH-PLN,Tabel A12.10,751,-3.052336,115.423631,province_centroid,low
RUPTL-KALIMANTAN-P-0040,Add-On Kalselteng*),PLTGU,50.0,Kalimantan Selatan,kalimantan,Planned,,,,SH-PLN,Tabel A12.10,751,-2.871224,115.272287,province_centroid,low
