id,system,voltage_class,voltage_kv_max,voltage_kv_all,length_km,osm_id,osm_voltage,source_id
TRM-SMT-0122,Sumatra,275 kV,275.0,275,172.375,way/608964335,275000,OSM-overpass
TRM-SMT-0123,Sumatra,150 kV,150.0,150,105.595,way/608964336,150000,OSM-overpass
TRM-SMT-0124,Sumatra,150 kV,150.0,150,7.299,way/610136442,150000,OSM-overpass
TRM-SMT-0125,Sumatra,150 kV,150.0,150,11.749,way/610136443,150000,OSM-overpass
TRM-SMT-0126,Sumatra,150 kV,150.0,150,0.077,way/610136447,150000,OSM-overpass
TRM-SMT-0127,Sumatra,150 kV,150.0,150,53.462,way/610168614,150000,OSM-overpass
TRM-SMT-0128,Sumatra,150 kV,150.0,150,54.917,way/610168623,150000,OSM-overpass
TRM-SMT-0129,Sumatra,150 kV,150.0,150,18.742,way/610168633,150000,OSM-overpass
TRM-SMT-0130,Sumatra,70 kV,70.0,70,5.757,way/610168634,70000,OSM-overpass
TRM-SMT-0131,Sumatra,150 kV,150.0,150,22.588,way/610168637,150000,OSM-overpass
TRM-SMT-0132,Batam,150 kV,150.0,150,9.629,way/610687236,150000,OSM-overpass
TRM-SMT-0133,Batam,150 kV,150.0,150,6.805,way/610693015,150000,OSM-overpass
TRM-SMT-0134,Batam,150 kV,150.0,150,5.874,way/613578666,150000,OSM-overpass
TRM-SMT-0135,Batam,150 kV,150.0,150,8.377,way/615649215,150000,OSM-overpass
TRM-SMT-0136,Sumatra,150 kV,150.0,150,32.583,way/618400565,150000,OSM-overpass
TRM-SMT-0137,Babel,150 kV,150.0,150,57.751,way/620166579,150000,OSM-overpass
TRM-SMT-0138,Babel,150 kV,150.0,150,24.335,way/620166581,150000,OSM-overpass
TRM-SMT-0139,Sumatra,150 kV,150.0,150,59.688,way/621794945,150000,OSM-overpass
TRM-SMT-0140,Sumatra,150 kV,150.0,150,20.153,way/621795450,150000,OSM-overpass
TRM-SMT-0141,Sumatra,150 kV,150.0,150,37.344,way/623182761,150000,OSM-overpass
TRM-SMT-0142,Sumatra,275 kV,275.0,275,76.521,way/623185706,275000,OSM-overpass
TRM-SMT-0143,Sumatra,150 kV,150.0,150,15.619,way/623185707,150000,OSM-overpass
TRM-SMT-0144,Sumatra,150 kV,150.0,150,56.495,way/624460454,150000,OSM-overpass
TRM-SMT-0145,Sumatra,150 kV,150.0,150,83.816,way/624460455,150000,OSM-overpass
TRM-SMT-0146,Sumatra,150 kV,150.0,150,46.015,way/625279423,150000,OSM-overpass
TRM-SMT-0147,Sumatra,150 kV,150.0,150,14.096,way/625306221,150000,OSM-overpass
TRM-SMT-0148,Sumatra,150 kV,150.0,150,19.818,way/625306222,150000,OSM-overpass
TRM-SMT-0149,Sumatra,150 kV,150.0,150,9.072,way/625320175,150000,OSM-overpass
TRM-SMT-0150,Batam,150 kV,150.0,150,17.682,way/706956291,150000,OSM-overpass
TRM-SMT-0151,Batam,150 kV,150.0,150,8.233,way/706965634,150000,OSM-overpass
TRM-SMT-0152,Batam,150 kV,150.0,150,2.866,way/706965636,150000,OSM-overpass
TRM-SMT-0153,Sumatra,150 kV,150.0,150,2.322,way/721668487,150000,OSM-overpass
TRM-SMT-0154,Sumatra,150 kV,150.0,150,9.854,way/721668488,150000,OSM-overpass
TRM-SMT-0155,Sumatra,150 kV,150.0,150,18.354,way/721683959,150000,OSM-overpass
TRM-SMT-0156,Sumatra,150 kV,150.0,150,128.727,way/721686285,150000,OSM-overpass
TRM-SMT-0157,Sumatra,150 kV,150.0,150,48.615,way/721687536,150000,OSM-overpass
TRM-SMT-0158,Sumatra,150 kV,150.0,150,0.126,way/721688044,150000,OSM-overpass
TRM-SMT-0159,Sumatra,150 kV,150.0,150,78.316,way/721690861,150000,OSM-overpass
TRM-SMT-0160,Sumatra,150 kV,150.0,150,24.307,way/721690862,150000,OSM-overpass
TRM-SMT-0161,Sumatra,150 kV,150.0,150,2.042,way/721696768,150000,OSM-overpass
TRM-SMT-0162,Sumatra,150 kV,150.0,150,0.068,way/721700114,150000,OSM-overpass
TRM-SMT-0163,Sumatra,150 kV,150.0,150,55.326,way/736587813,150000,OSM-overpass
TRM-SMT-0164,Sumatra,150 kV,150.0,150,21.489,way/736587814,150000,OSM-overpass
TRM-SMT-0165,Sumatra,275 kV,275.0,275,0.914,way/736595651,275000,OSM-overpass
TRM-SMT-0166,Sumatra,275 kV,275.0,275,81.639,way/736595652,275000,OSM-overpass
TRM-SMT-0167,Sumatra,500 kV,500.0,500,241.165,way/736595654,500000,OSM-overpass
TRM-SMT-0168,Sumatra,150 kV,150.0,150,0.923,way/736599653,150000,OSM-overpass
TRM-SMT-0169,Sumatra,150 kV,150.0,150,2.961,way/736654317,150000,OSM-overpass
TRM-SMT-0170,Sumatra,150 kV,150.0,150,2.538,way/736654318,150000,OSM-overpass
TRM-SMT-0171,Sumatra,150 kV,150.0,150,6.801,way/736654319,150000,OSM-overpass
TRM-SMT-0172,Sumatra,150 kV,150.0,150,10.383,way/736654320,150000,OSM-overpass
TRM-SMT-0173,Sumatra,150 kV,150.0,150,33.57,way/736654321,150000,OSM-overpass
TRM-SMT-0174,Sumatra,150 kV,150.0,150,7.557,way/736654324,150000,OSM-overpass
TRM-SMT-0175,Sumatra,70 kV,70.0,70,96.835,way/736942580,70000,OSM-overpass
TRM-SMT-0176,Sumatra,150 kV,150.0,150,109.545,way/736951167,150000,OSM-overpass
TRM-SMT-0177,Sumatra,275 kV,275.0,275,0.256,way/753501756,275000,OSM-overpass
TRM-SMT-0178,Sumatra,275 kV,275.0,275,36.79,way/753501757,275000,OSM-overpass
TRM-SMT-0179,Sumatra,150 kV,150.0,150,0.022,way/753522707,150000,OSM-overpass
TRM-SMT-0180,Sumatra,150 kV,150.0,150,0.052,way/753522708,150000,OSM-overpass
TRM-SMT-0181,Sumatra,150 kV,150.0,150,0.046,way/753522709,150000,OSM-overpass
TRM-SMT-0182,Sumatra,150 kV,150.0,150,74.788,way/753522710,150000,OSM-overpass
TRM-SMT-0183,Sumatra,150 kV,150.0,150,0.053,way/753522712,150000,OSM-overpass
TRM-SMT-0184,Sumatra,150 kV,150.0,150,0.053,way/753522713,150000,OSM-overpass
TRM-SMT-0185,Sumatra,150 kV,150.0,150,0.026,way/753523629,150000,OSM-overpass
TRM-SMT-0186,Sumatra,150 kV,150.0,150,1.622,way/753523630,150000,OSM-overpass
TRM-SMT-0187,Sumatra,150 kV,150.0,150,0.058,way/753526285,150000,OSM-overpass
TRM-SMT-0188,Sumatra,150 kV,150.0,150,0.032,way/753530486,150000,OSM-overpass
TRM-SMT-0189,Sumatra,150 kV,150.0,150,0.056,way/753530487,150000,OSM-overpass
TRM-SMT-0190,Sumatra,150 kV,150.0,150,0.061,way/753707429,150000,OSM-overpass
TRM-SMT-0191,Sumatra,150 kV,150.0,150,0.039,way/753707430,150000,OSM-overpass
TRM-SMT-0192,Sumatra,150 kV,150.0,150,5.629,way/753707431,150000,OSM-overpass
TRM-SMT-0193,Sumatra,150 kV,150.0,150,16.458,way/753707432,150000,OSM-overpass
TRM-SMT-0194,Sumatra,150 kV,150.0,150,0.047,way/753707433,150000,OSM-overpass
TRM-SMT-0195,Sumatra,150 kV,150.0,150,0.034,way/753707434,150000,OSM-overpass
TRM-SMT-0196,Sumatra,150 kV,150.0,150,9.968,way/753707435,150000,OSM-overpass
TRM-SMT-0197,Sumatra,150 kV,150.0,150,5.007,way/753707436,150000,OSM-overpass
TRM-SMT-0198,Sumatra,150 kV,150.0,150,0.226,way/753707437,150000,OSM-overpass
TRM-SMT-0199,Sumatra,150 kV,150.0,150,0.048,way/753707438,150000,OSM-overpass
TRM-SMT-0200,Sumatra,150 kV,150.0,150,0.058,way/753707439,150000,OSM-overpass
TRM-SMT-0201,Sumatra,150 kV,150.0,150,0.072,way/753707440,150000,OSM-overpass
TRM-SMT-0202,Sumatra,150 kV,150.0,150,0.106,way/753707441,150000,OSM-overpass
TRM-SMT-0203,Sumatra,150 kV,150.0,150,0.034,way/753707442,150000,OSM-overpass
TRM-SMT-0204,Sumatra,150 kV,150.0,150,0.291,way/753717468,150000,OSM-overpass
TRM-SMT-0205,Sumatra,150 kV,150.0,150,14.877,way/753724210,150000,OSM-overpass
TRM-SMT-0206,Sumatra,150 kV,150.0,150,0.354,way/753726996,150000,OSM-overpass
TRM-SMT-0207,Sumatra,150 kV,150.0,150,0.174,way/753726997,150000,OSM-overpass
TRM-SMT-0208,Sumatra,150 kV,150.0,150,0.18,way/753726998,150000,OSM-overpass
TRM-SMT-0209,Sumatra,150 kV,150.0,150,11.973,way/753726999,150000,OSM-overpass
TRM-SMT-0210,Sumatra,150 kV,150.0,150,12.55,way/753730868,150000,OSM-overpass
TRM-SMT-0211,Sumatra,275 kV,275.0,275,42.084,way/753733607,275000,OSM-overpass
TRM-SMT-0212,Sumatra,150 kV,150.0,150,137.314,way/753980911,150000,OSM-overpass
TRM-SMT-0213,Sumatra,150 kV,150.0,150,0.028,way/754066471,150000,OSM-overpass
TRM-SMT-0214,Sumatra,150 kV,150.0,150,0.028,way/754067692,150000,OSM-overpass
TRM-SMT-0215,Sumatra,275 kV,275.0,275,0.044,way/754073845,275000,OSM-overpass
TRM-SMT-0216,Sumatra,150 kV,150.0,150,0.065,way/754073848,150000,OSM-overpass
TRM-SMT-0217,Sumatra,275 kV,275.0,275,0.144,way/754073849,275000,OSM-overpass
TRM-SMT-0218,Sumatra,150 kV,150.0,150,0.072,way/754096391,150000,OSM-overpass
TRM-SMT-0219,Sumatra,150 kV,150.0,150,0.047,way/754096392,150000,OSM-overpass
TRM-SMT-0220,Sumatra,150 kV,150.0,150,0.073,way/754096393,150000,OSM-overpass
TRM-SMT-0221,Sumatra,150 kV,150.0,150,0.015,way/754096395,150000,OSM-overpass
TRM-SMT-0222,Sumatra,150 kV,150.0,150,0.018,way/754096396,150000,OSM-overpass
TRM-SMT-0223,Sumatra,275 kV,275.0,275,0.057,way/754096397,275000,OSM-overpass
TRM-SMT-0224,Sumatra,275 kV,275.0,275,0.038,way/754096398,275000,OSM-overpass
TRM-SMT-0225,Sumatra,275 kV,275.0,275,0.037,way/754096399,275000,OSM-overpass
TRM-SMT-0226,Sumatra,275 kV,275.0,275,0.282,way/754178668,275000,OSM-overpass
TRM-SMT-0227,Sumatra,275 kV,275.0,275,0.067,way/754178669,275000,OSM-overpass
TRM-SMT-0228,Sumatra,150 kV,150.0,150,35.798,way/754179687,150000,OSM-overpass
TRM-SMT-0229,Sumatra,150 kV,150.0,150,0.041,way/754179810,150000,OSM-overpass
TRM-SMT-0230,Sumatra,150 kV,150.0,150,0.144,way/754181527,150000,OSM-overpass
TRM-SMT-0231,Sumatra,150 kV,150.0,150,0.031,way/754402649,150000,OSM-overpass
TRM-SMT-0232,Sumatra,150 kV,150.0,150,45.122,way/754402651,150000,OSM-overpass
TRM-SMT-0233,Sumatra,150 kV,150.0,150,0.056,way/754484352,150000,OSM-overpass
TRM-SMT-0234,Sumatra,150 kV,150.0,150,0.111,way/754646173,150000,OSM-overpass
TRM-SMT-0235,Sumatra,150 kV,150.0,150,0.06,way/754646174,150000,OSM-overpass
TRM-SMT-0236,Sumatra,275 kV,275.0,275,0.046,way/754700041,275000,OSM-overpass
TRM-SMT-0237,Sumatra,150 kV,150.0,150,72.88,way/754703573,150000,OSM-overpass
TRM-SMT-0238,Sumatra,150 kV,150.0,150,0.073,way/754703574,150000,OSM-overpass
TRM-SMT-0239,Sumatra,150 kV,150.0,150,0.017,way/754970591,150000,OSM-overpass
TRM-SMT-0240,Sumatra,150 kV,150.0,150,0.05,way/754970592,150000,OSM-overpass
TRM-SMT-0241,Sumatra,150 kV,150.0,150,0.084,way/754977461,150000,OSM-overpass
TRM-SMT-0242,Sumatra,150 kV,150.0,150,0.047,way/754977462,150000,OSM-overpass
TRM-SMT-0243,Sumatra,150 kV,150.0,150,58.392,way/754977464,150000,OSM-overpass
TRM-SMT-0244,Sumatra,150 kV,150.0,150,0.037,way/754992738,150000,OSM-overpass
TRM-SMT-0245,Sumatra,150 kV,150.0,150,0.062,way/755006490,150000,OSM-overpass
TRM-SMT-0246,Sumatra,150 kV,150.0,150,0.061,way/755006491,150000,OSM-overpass
TRM-SMT-0247,Sumatra,150 kV,150.0,150,44.836,way/755006492,150000,OSM-overpass
TRM-SMT-0248,Sumatra,150 kV,150.0,150,0.069,way/755020203,150000,OSM-overpass
TRM-SMT-0249,Sumatra,150 kV,150.0,150,110.143,way/755020204,150000,OSM-overpass
TRM-SMT-0250,Sumatra,150 kV,150.0,150,35.459,way/791599871,150000,OSM-overpass
TRM-SMT-0251,Sumatra,150 kV,150.0,150,36.85,way/797095275,150000,OSM-overpass
TRM-SMT-0252,Sumatra,150 kV,150.0,150,115.105,way/879339978,150000,OSM-overpass
TRM-SMT-0253,Sumatra,150 kV,150.0,150,2.344,way/928199941,150000,OSM-overpass
TRM-SMT-0254,Sumatra,150 kV,150.0,150,25.422,way/928199942,150000,OSM-overpass
TRM-SMT-0255,Sumatra,150 kV,150.0,150,0.364,way/928220388,150000,OSM-overpass
