id,system,voltage_class,voltage_kv_max,voltage_kv_all,length_km,osm_id,osm_voltage,source_id
TRM-KLM-0281,Mahakam,150 kV,150.0,150,0.709,way/1319709252,150000,OSM-overpass
TRM-KLM-0282,Mahakam,150 kV,150.0,150,1.422,way/1319709253,150000,OSM-overpass
TRM-KLM-0283,Mahakam,150 kV,150.0,150,2.333,way/1319709254,150000,OSM-overpass
TRM-KLM-0284,Mahakam,150 kV,150.0,150,4.163,way/1319709255,150000,OSM-overpass
TRM-KLM-0285,Mahakam,150 kV,150.0,150,6.209,way/1319709256,150000,OSM-overpass
TRM-KLM-0286,Mahakam,150 kV,150.0,150,0.698,way/1319709257,150000,OSM-overpass
TRM-KLM-0287,Mahakam,150 kV,150.0,150,19.254,way/1319709258,150000,OSM-overpass
TRM-KLM-0288,Mahakam,150 kV,150.0,150,28.675,way/1319709259,150000,OSM-overpass
TRM-KLM-0289,Mahakam,150 kV,150.0,150,24.611,way/1319709260,150000,OSM-overpass
TRM-KLM-0290,Mahakam,150 kV,150.0,150,21.202,way/1321622337,150000,OSM-overpass
TRM-KLM-0291,Mahakam,150 kV,150.0,150,0.055,way/1321622745,150000,OSM-overpass
TRM-KLM-0292,Mahakam,150 kV,150.0,150,0.054,way/1321622746,150000,OSM-overpass
TRM-KLM-0293,Mahakam,150 kV,150.0,150,18.41,way/1321622747,150000,OSM-overpass
TRM-KLM-0294,Khatulistiwa,150 kV,150.0,150,0.098,way/1339745430,150000,OSM-overpass
TRM-KLM-0295,Khatulistiwa,150 kV,150.0,150,0.098,way/1339745431,150000,OSM-overpass
TRM-KLM-0296,Mahakam,150 kV,150.0,150,0.037,way/1363038778,150000,OSM-overpass
TRM-KLM-0297,Mahakam,150 kV,150.0,150,0.04,way/1363038779,150000,OSM-overpass
TRM-KLM-0298,Mahakam,150 kV,150.0,150,0.069,way/1363038780,150000,OSM-overpass
TRM-KLM-0299,Mahakam,150 kV,150.0,150,0.071,way/1363038781,150000,OSM-overpass
TRM-KLM-0300,Mahakam,150 kV,150.0,150,13.17,way/1363038785,150000,OSM-overpass
TRM-KLM-0301,Mahakam,150 kV,150.0,150,0.06,way/1363038963,150000,OSM-overpass
TRM-KLM-0302,Mahakam,150 kV,150.0,150,0.061,way/1363038964,150000,OSM-overpass
TRM-KLM-0303,Kalselteng,150 kV,150.0,150,50.321,way/1363724772,150000,OSM-overpass
TRM-KLM-0304,Mahakam,150 kV,150.0,150,0.067,way/1385959877,150000,OSM-overpass
TRM-KLM-0305,Mahakam,150 kV,150.0,150,0.067,way/1385959878,150000,OSM-overpass
TRM-KLM-0306,Mahakam,150 kV,150.0,150,0.401,way/1385959879,150000,OSM-overpass
TRM-KLM-0307,Mahakam,150 kV,150.0,150,0.401,way/1385959880,150000,OSM-overpass
TRM-KLM-0308,Mahakam,150 kV,150.0,150,2.945,way/1385967039,150000,OSM-overpass
TRM-KLM-0309,Mahakam,150 kV,150.0,150,0.764,way/1385967040,150000,OSM-overpass
TRM-KLM-0310,Mahakam,150 kV,150.0,150,3.653,way/1385968486,150000,OSM-overpass
TRM-KLM-0311,Mahakam,150 kV,150.0,150,24.717,way/1411098193,150000,OSM-overpass
