id,ipm_id,ruptl_id,name,type,capacity_mw,province,system,status,role,operator,method,lat,lon,match_tier,match_score,match_reason,name_source,capacity_mw_source,type_source,role_source,operator_source,status_source,coord_source,capacity_mw_ipm,capacity_mw_ruptl,type_ipm,type_ruptl,role_ipm,role_ruptl,has_capacity_conflict,has_type_conflict,has_role_conflict,has_location_conflict,osm_id,osm_source,source_id,review_flag
GEN-JMB-0057,GEN-JMB-0057,,PLTU Jawa 7,PLTU,2000.0,Banten,Jamali,existing,Utility,PT SGPJB,combustion,-5.9918823,106.1055836,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,2000.0,,PLTU,,Utility,,,,,,way/530303610,coal,OSM-overpass,
GEN-JMB-0058,GEN-JMB-0058,,PLTU Suralaya,PLTU,4025.0,Banten,Jamali,existing,Utility,Indonesia Power,combustion,-5.8892925,106.0311877,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,4025.0,,PLTU,,Utility,,,,,,way/531146249,coal,OSM-overpass,
GEN-JMB-0059,GEN-JMB-0059,,PLTU Merak Energi Indonesia,PLTU,120.0,Banten,Jamali,existing,Utility,,combustion,-5.8833741,106.0643003,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,,ipm_osm,ipm_osm,120.0,,PLTU,,Utility,,,,,,way/531146292,coal,OSM-overpass,
GEN-JMB-0062,GEN-JMB-0062,,PLTGU Bekasi Power,PLTGU,118.8,Jawa Barat,Jamali,existing,Utility,Bekasi Power,combustion,-6.2701676,107.1591988,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,118.8,,PLTGU,,Utility,,,,,,way/549604296,gas,OSM-overpass,
GEN-JMB-0063,GEN-JMB-0063,,PLTA Wlingi,PLTA,53.62,Jawa Timur,Jamali,existing,Utility,PT Pembangkitan Jawa Bali,,-8.1417117,112.2477736,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,53.62,,PLTA,,Utility,,,,,,way/558289605,hydro,OSM-overpass,
GEN-JMB-0064,GEN-JMB-0064,,PLTU Palabuhan Ratu,PLTU,1050.0,Jawa Barat,Jamali,existing,Utility,Indonesia Power,combustion,-7.02259,106.5464052,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,1050.0,,PLTU,,Utility,,,,,,way/560638469,coal,OSM-overpass,
GEN-JMB-0065,GEN-JMB-0065,,PLTA Kedung Ombo,PLTA,22.5,Jawa Tengah,Jamali,existing,Utility,Indonesia Power,water-storage,-7.2560075,110.8378828,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,22.5,,PLTA,,Utility,,,,,,way/561591953,hydro,OSM-overpass,
GEN-JMB-0066,GEN-JMB-0066,,PLTA Pejengkolan,PLTA,1.4,Jawa Tengah,Jamali,existing,Utility,Indonesia Power,run-of-the-river,-7.6595626,109.7719566,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,1.4,,PLTA,,Utility,,,,,,way/561746042,hydro,OSM-overpass,
GEN-JMB-0067,GEN-JMB-0067,,PLTG Gilimanuk,PLTG,133.8,Bali,Jamali,existing,Utility,Indonesia Power,combustion,-8.1749306,114.4420497,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,133.8,,PLTG,,Utility,,,,,,way/564749763,gas,OSM-overpass,
GEN-JMB-0068,GEN-JMB-0068,,PLTA Saguling,PLTA,700.72,Jawa Barat,Jamali,existing,Utility,Indonesia Power,water-storage,-6.8646138,107.350105,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,700.72,,PLTA,,Utility,,,,,,way/564749764,hydro,OSM-overpass,
