id,voltage_class,voltage_kv_max,voltage_kv_all,length_km,osm_id,osm_voltage,source_id
TRM-JMB-1103,70 kV,70.0,70,3.644,way/960747867,70000,OSM-overpass
TRM-JMB-1104,70 kV,70.0,70,14.357,way/960747869,70000,OSM-overpass
TRM-JMB-1105,70 kV,70.0,70,0.721,way/960747873,70000,OSM-overpass
TRM-JMB-1106,150 kV,150.0,150,0.823,way/960747874,150000,OSM-overpass
TRM-JMB-1107,150 kV,150.0,150,1.996,way/960747875,150000,OSM-overpass
TRM-JMB-1108,150 kV,150.0,150,0.731,way/960747878,150000,OSM-overpass
TRM-JMB-1109,150 kV,150.0,150,0.885,way/960747879,150000,OSM-overpass
TRM-JMB-1110,70 kV,70.0,70,3.858,way/960747880,70000,OSM-overpass
TRM-JMB-1111,150 kV,150.0,150,24.411,way/960747881,150000,OSM-overpass
TRM-JMB-1112,150 kV,150.0,150,20.893,way/960747882,150000,OSM-overpass
TRM-JMB-1113,150 kV,150.0,150,2.762,way/960747885,150000,OSM-overpass
TRM-JMB-1114,150 kV,150.0,150,0.104,way/960747888,150000,OSM-overpass
TRM-JMB-1115,150 kV,150.0,150,1.416,way/960747889,150000,OSM-overpass
TRM-JMB-1116,70 kV,70.0,70,9.196,way/960747891,70000,OSM-overpass
TRM-JMB-1117,150 kV,150.0,150,24.803,way/960747892,150000,OSM-overpass
TRM-JMB-1118,150 kV,150.0,150,0.033,way/960747893,150000,OSM-overpass
TRM-JMB-1119,500 kV,500.0,500,4.461,way/960747895,500000,OSM-overpass
TRM-JMB-1120,150 kV,150.0,150,4.26,way/960747897,150000,OSM-overpass
TRM-JMB-1121,150 kV,150.0,150,7.161,way/960747898,150000,OSM-overpass
TRM-JMB-1122,70 kV,70.0,70,2.071,way/960747899,70000,OSM-overpass
TRM-JMB-1123,70 kV,70.0,70,2.962,way/960747900,70000,OSM-overpass
TRM-JMB-1124,500 kV,500.0,500,52.411,way/960747903,500000,OSM-overpass
TRM-JMB-1125,70 kV,70.0,70,26.677,way/960747904,70000,OSM-overpass
TRM-JMB-1126,150 kV,150.0,150,0.641,way/960747906,150000,OSM-overpass
TRM-JMB-1127,150 kV,150.0,150,1.331,way/960747907,150000,OSM-overpass
TRM-JMB-1128,150 kV,150.0,150,0.088,way/960747908,150000,OSM-overpass
TRM-JMB-1129,150 kV,150.0,150,1.759,way/960747909,150000,OSM-overpass
TRM-JMB-1130,150 kV,150.0,150,5.198,way/960747911,150000,OSM-overpass
TRM-JMB-1131,150 kV,150.0,150,0.393,way/960747912,150000,OSM-overpass
TRM-JMB-1132,150 kV,150.0,150,1.76,way/960747913,150000,OSM-overpass
TRM-JMB-1133,150 kV,150.0,150,0.047,way/960747914,150000,OSM-overpass
TRM-JMB-1134,150 kV,150.0,150,0.042,way/960747915,150000,OSM-overpass
TRM-JMB-1135,150 kV,150.0,150,7.192,way/960747916,150000,OSM-overpass
TRM-JMB-1136,70 kV,70.0,70,0.71,way/960747917,70000,OSM-overpass
TRM-JMB-1137,70 kV,70.0,70,2.394,way/960747918,70000,OSM-overpass
TRM-JMB-1138,70 kV,70.0,70,3.993,way/960747920,70000,OSM-overpass
TRM-JMB-1139,150 kV,150.0,150,11.792,way/960747921,150000,OSM-overpass
TRM-JMB-1140,70 kV,70.0,70,0.343,way/960747922,70000,OSM-overpass
TRM-JMB-1141,150 kV,150.0,150,0.381,way/960747923,150000,OSM-overpass
TRM-JMB-1142,150 kV,150.0,150,16.188,way/960747924,150000,OSM-overpass
TRM-JMB-1143,150 kV,150.0,150,9.138,way/960747927,150000,OSM-overpass
TRM-JMB-1144,150 kV,150.0,150,5.014,way/960747929,150000,OSM-overpass
TRM-JMB-1145,150 kV,150.0,150,9.059,way/960747930,150000,OSM-overpass
TRM-JMB-1146,150 kV,150.0,150,4.205,way/960747931,150000,OSM-overpass
TRM-JMB-1147,150 kV,150.0,150,0.067,way/960747933,150000,OSM-overpass
TRM-JMB-1148,150 kV,150.0,150,4.92,way/960747934,150000,OSM-overpass
TRM-JMB-1149,500 kV,500.0,500,3.449,way/960747935,500000,OSM-overpass
TRM-JMB-1150,70 kV,70.0,70,21.002,way/966209458,70000,OSM-overpass
TRM-JMB-1151,70 kV,70.0,70,10.021,way/966209463,70000,OSM-overpass
TRM-JMB-1152,70 kV,70.0,70,23.219,way/966209464,70000,OSM-overpass
TRM-JMB-1153,70 kV,70.0,70,0.053,way/966209465,70000,OSM-overpass
TRM-JMB-1154,150 kV,150.0,150,0.647,way/966209469,150000,OSM-overpass
TRM-JMB-1155,150 kV,150.0,150,0.061,way/966209487,150000,OSM-overpass
TRM-JMB-1156,150 kV,150.0,150,2.946,way/966209492,150000,OSM-overpass
TRM-JMB-1157,150 kV,150.0,150,1.211,way/966209495,150000,OSM-overpass
TRM-JMB-1158,150 kV,150.0,150,0.45,way/966209496,150000,OSM-overpass
TRM-JMB-1159,150 kV,150.0,150,4.527,way/966209500,150000,OSM-overpass
TRM-JMB-1160,150 kV,150.0,150,0.061,way/966209501,150000,OSM-overpass
TRM-JMB-1161,150 kV,150.0,150,0.042,way/966209502,150000,OSM-overpass
TRM-JMB-1162,150 kV,150.0,150,0.062,way/966209503,150000,OSM-overpass
TRM-JMB-1163,150 kV,150.0,150,0.043,way/966209504,150000,OSM-overpass
TRM-JMB-1164,150 kV,150.0,150,0.05,way/966209509,150000,OSM-overpass
TRM-JMB-1165,150 kV,150.0,150,9.749,way/966209512,150000,OSM-overpass
TRM-JMB-1166,150 kV,150.0,150,0.024,way/966209513,150000,OSM-overpass
TRM-JMB-1167,150 kV,150.0,150,0.022,way/966209514,150000,OSM-overpass
TRM-JMB-1168,150 kV,150.0,150,0.02,way/966209525,150000,OSM-overpass
TRM-JMB-1169,150 kV,150.0,150,4.353,way/966209527,150000,OSM-overpass
TRM-JMB-1170,70 kV,70.0,70,2.31,way/966209529,70000,OSM-overpass
TRM-JMB-1171,150 kV,150.0,150,5.51,way/966209531,150000,OSM-overpass
TRM-JMB-1172,70 kV,70.0,70,6.987,way/966209533,70000,OSM-overpass
TRM-JMB-1173,70 kV,70.0,70,10.141,way/966209534,70000,OSM-overpass
TRM-JMB-1174,150 kV,150.0,150,0.338,way/966209535,150000,OSM-overpass
TRM-JMB-1175,150 kV,150.0,150,0.331,way/966209536,150000,OSM-overpass
TRM-JMB-1176,150 kV,150.0,150,1.01,way/966209537,150000,OSM-overpass
TRM-JMB-1177,150 kV,150.0,150,11.039,way/966209539,150000,OSM-overpass
TRM-JMB-1178,500 kV,500.0,500,3.696,way/966209543,500000,OSM-overpass
TRM-JMB-1179,150 kV,150.0,150,0.026,way/966209544,150000,OSM-overpass
TRM-JMB-1180,150 kV,150.0,150,0.207,way/966209546,150000,OSM-overpass
TRM-JMB-1181,150 kV,150.0,150,5.23,way/966209547,150000,OSM-overpass
TRM-JMB-1182,150 kV,150.0,150,3.269,way/966209548,150000,OSM-overpass
TRM-JMB-1183,150 kV,150.0,150,6.485,way/966209550,150000,OSM-overpass
TRM-JMB-1184,150 kV,150.0,150,1.953,way/966209551,150000,OSM-overpass
TRM-JMB-1185,150 kV,150.0,150,3.823,way/966209552,150000,OSM-overpass
TRM-JMB-1186,150 kV,150.0,150,2.142,way/966209553,150000,OSM-overpass
TRM-JMB-1187,150 kV,150.0,150,1.601,way/966209554,150000,OSM-overpass
TRM-JMB-1188,150 kV,150.0,150,5.04,way/966209555,150000,OSM-overpass
TRM-JMB-1189,150 kV,150.0,150,8.484,way/966209556,150000,OSM-overpass
TRM-JMB-1190,150 kV,150.0,150,9.865,way/966209558,150000,OSM-overpass
TRM-JMB-1191,70 kV,70.0,70,18.64,way/966209559,70000,OSM-overpass
TRM-JMB-1192,150 kV,150.0,150,10.384,way/966209560,150000,OSM-overpass
TRM-JMB-1193,150 kV,150.0,150,13.869,way/966209562,150000,OSM-overpass
TRM-JMB-1194,150 kV,150.0,150,15.617,way/966209564,150000,OSM-overpass
TRM-JMB-1195,150 kV,150.0,150,10.8,way/970449929,150000,OSM-overpass
TRM-JMB-1196,150 kV,150.0,150,7.165,way/1000266307,150000,OSM-overpass
TRM-JMB-1197,150 kV,150.0,150,0.039,way/1010246288,150000,OSM-overpass
TRM-JMB-1198,150 kV,150.0,150,0.037,way/1010246289,150000,OSM-overpass
TRM-JMB-1199,150 kV,150.0,150,0.024,way/1010246291,150000,OSM-overpass
TRM-JMB-1200,150 kV,150.0,150,2.404,way/1010246292,150000,OSM-overpass
TRM-JMB-1201,150 kV,150.0,150,0.023,way/1010246293,150000,OSM-overpass
TRM-JMB-1202,150 kV,150.0,150,0.04,way/1010246295,150000,OSM-overpass
TRM-JMB-1203,150 kV,150.0,150,0.041,way/1010246296,150000,OSM-overpass
TRM-JMB-1204,150 kV,150.0,150,0.057,way/1010246297,150000,OSM-overpass
TRM-JMB-1205,150 kV,150.0,150,0.054,way/1010246298,150000,OSM-overpass
TRM-JMB-1206,150 kV,150.0,150,0.055,way/1010246299,150000,OSM-overpass
TRM-JMB-1207,150 kV,150.0,150,0.059,way/1010246300,150000,OSM-overpass
TRM-JMB-1208,150 kV,150.0,150,8.502,way/1010246305,150000,OSM-overpass
TRM-JMB-1209,500 kV,500.0,500,90.127,way/1013653011,500000,OSM-overpass
TRM-JMB-1210,500 kV,500.0,500,29.839,way/1015361597,500000,OSM-overpass
TRM-JMB-1211,500 kV,500.0,500;150,0.809,way/1015361599,500000;150000,OSM-overpass
TRM-JMB-1212,150 kV,150.0,150,11.288,way/1015361600,150000,OSM-overpass
TRM-JMB-1213,150 kV,150.0,150,5.329,way/1015361601,150000,OSM-overpass
TRM-JMB-1214,150 kV,150.0,150,0.389,way/1015361602,150000,OSM-overpass
TRM-JMB-1215,500 kV,500.0,500,28.551,way/1015361603,500000,OSM-overpass
TRM-JMB-1216,500 kV,500.0,500,17.814,way/1015361604,500000,OSM-overpass
TRM-JMB-1217,500 kV,500.0,500,227.965,way/1015753815,500000,OSM-overpass
TRM-JMB-1218,500 kV,500.0,500,168.867,way/1015777716,500000,OSM-overpass
TRM-JMB-1219,500 kV,500.0,500,18.531,way/1015995249,500000,OSM-overpass
TRM-JMB-1220,500 kV,500.0,500,16.481,way/1016069095,500000,OSM-overpass
TRM-JMB-1221,150 kV,150.0,150,0.37,way/1019356098,150000,OSM-overpass
TRM-JMB-1222,150 kV,150.0,150,12.778,way/1019356099,150000,OSM-overpass
TRM-JMB-1223,150 kV,150.0,150,0.168,way/1019356100,150000,OSM-overpass
TRM-JMB-1224,150 kV,150.0,150,23.296,way/1019356101,150000,OSM-overpass
TRM-JMB-1225,500 kV,500.0,500,13.692,way/1019640324,500000,OSM-overpass
TRM-JMB-1226,150 kV,150.0,150,3.772,way/1019640325,150000,OSM-overpass
TRM-JMB-1227,150 kV,150.0,150,5.791,way/1019640326,150000,OSM-overpass
TRM-JMB-1228,150 kV,150.0,150,17.31,way/1019640327,150000,OSM-overpass
TRM-JMB-1229,150 kV,150.0,150,2.608,way/1019640328,150000,OSM-overpass
TRM-JMB-1230,500 kV,500.0,500,4.491,way/1019640329,500000,OSM-overpass
TRM-JMB-1231,150 kV,150.0,150,0.031,way/1019712345,150000,OSM-overpass
TRM-JMB-1232,150 kV,150.0,150,7.522,way/1019712346,150000,OSM-overpass
TRM-JMB-1233,150 kV,150.0,150,0.039,way/1022130223,150000,OSM-overpass
TRM-JMB-1234,500 kV,500.0,500,100.032,way/1022578393,500000,OSM-overpass
TRM-JMB-1235,500 kV,500.0,500,0.27,way/1047782364,500000,OSM-overpass
TRM-JMB-1236,500 kV,500.0,500,0.289,way/1047782365,500000,OSM-overpass
TRM-JMB-1237,500 kV,500.0,500,1.552,way/1047782366,500000,OSM-overpass
TRM-JMB-1238,150 kV,150.0,150,4.208,way/1050052946,150000,OSM-overpass
TRM-JMB-1239,150 kV,150.0,150,0.651,way/1050052947,150000,OSM-overpass
TRM-JMB-1240,150 kV,150.0,150,34.896,way/1051083707,150000,OSM-overpass
TRM-JMB-1241,150 kV,150.0,150,0.109,way/1052926627,150000,OSM-overpass
TRM-JMB-1242,70 kV,70.0,70,1.699,way/1052956888,70000,OSM-overpass
TRM-JMB-1243,70 kV,70.0,70,0.058,way/1052956891,70000,OSM-overpass
TRM-JMB-1244,70 kV,70.0,70,0.055,way/1052956892,70000,OSM-overpass
TRM-JMB-1245,150 kV,150.0,150,5.314,way/1065429467,150000,OSM-overpass
TRM-JMB-1246,150 kV,150.0,150,0.332,way/1066218467,150000,OSM-overpass
TRM-JMB-1247,150 kV,150.0,150,26.094,way/1066218470,150000,OSM-overpass
TRM-JMB-1248,150 kV,150.0,150,29.653,way/1066218471,150000,OSM-overpass
TRM-JMB-1249,150 kV,150.0,150,2.121,way/1068664588,150000,OSM-overpass
TRM-JMB-1250,150 kV,150.0,150,0.028,way/1068664589,150000,OSM-overpass
TRM-JMB-1251,150 kV,150.0,150,0.09,way/1068664590,150000,OSM-overpass
TRM-JMB-1252,150 kV,150.0,150,8.26,way/1068664591,150000,OSM-overpass
TRM-JMB-1253,150 kV,150.0,150,0.746,way/1068664592,150000,OSM-overpass
TRM-JMB-1254,150 kV,150.0,150,5.284,way/1068664593,150000,OSM-overpass
TRM-JMB-1255,150 kV,150.0,150,0.054,way/1068664594,150000,OSM-overpass
TRM-JMB-1256,150 kV,150.0,150,10.707,way/1068664596,150000,OSM-overpass
TRM-JMB-1257,150 kV,150.0,150,0.151,way/1068664597,150000,OSM-overpass
TRM-JMB-1258,70 kV,70.0,70,4.842,way/1068717981,70000,OSM-overpass
TRM-JMB-1259,70 kV,70.0,70,44.494,way/1071252140,70000,OSM-overpass
TRM-JMB-1260,70 kV,70.0,70,12.705,way/1072576476,70000,OSM-overpass
TRM-JMB-1261,150 kV,150.0,150,0.073,way/1072665329,150000,OSM-overpass
TRM-JMB-1262,150 kV,150.0,150,0.114,way/1072665330,150000,OSM-overpass
TRM-JMB-1263,150 kV,150.0,150,0.385,way/1072665333,150000,OSM-overpass
TRM-JMB-1264,150 kV,150.0,150,1.436,way/1072710159,150000,OSM-overpass
TRM-JMB-1265,150 kV,150.0,150,0.901,way/1074225505,150000,OSM-overpass
TRM-JMB-1266,150 kV,150.0,150,2.807,way/1074225506,150000,OSM-overpass
