id,name,from_bus,to_bus,voltage_kv,action_type,circuits,line_type,length_km,target_cod_year,status,province,region_key,source_page,source_table
RUPTL-KALIMANTAN-T-0027,PLTMG Kalbar- 3 — GI Eksisting / Baru Sistem Khatulistiwa,PLTMG Kalbar- 3,GI Eksisting / Baru Sistem Khatulistiwa,150,New,2,SUTT,10.0,2029,Planned,Kalimantan Barat,kalimantan,740,Tabel A11.15
RUPTL-KALIMANTAN-T-0028,PLTA Khatulistiwa (Kuota) Tersebar 100 MW — GI Eksisting / Baru Sistem Khatulistiwa,PLTA Khatulistiwa (Kuota) Tersebar 100 MW,GI Eksisting / Baru Sistem Khatulistiwa,150,New,2,SUTT,20.0,2033,Planned,Kalimantan Barat,kalimantan,740,Tabel A11.15
RUPTL-KALIMANTAN-T-0029,PLTA Khatulistiwa (Kuota) Tersebar 100 MW Jumlah — GI Eksisting / Baru Sistem Khatulistiwa,PLTA Khatulistiwa (Kuota) Tersebar 100 MW Jumlah,GI Eksisting / Baru Sistem Khatulistiwa,150,New,2,SUTT,1905.1,2034,Planned,Kalimantan Barat,kalimantan,740,Tabel A11.15
RUPTL-KALIMANTAN-T-0030,Asam-asam — Satui,Asam-asam,Satui,150,,2,SUTT,128.0,2025,Construction,Kalimantan Selatan,kalimantan,753,Tabel A12.12
RUPTL-KALIMANTAN-T-0031,Satui — Batulicin,Satui,Batulicin,150,,2,SUTT,150.0,2025,Construction,Kalimantan Selatan,kalimantan,753,Tabel A12.12
RUPTL-KALIMANTAN-T-0032,Batulicin Baru — Inc 2 Phi (Batulicin - Tarjun),Batulicin Baru,Inc 2 Phi (Batulicin - Tarjun),150,New,4,SUTT,2.0,2025,Construction,Kalimantan Selatan,kalimantan,753,Tabel A12.12
RUPTL-KALIMANTAN-T-0033,Inc 2 Phi (Batulicin - Pulau Laut) — Selaru,Inc 2 Phi (Batulicin - Pulau Laut),Selaru,150,New,4,SUTT,1.0,2025,Construction,Kalimantan Selatan,kalimantan,754,Tabel A12.15
RUPTL-KALIMANTAN-T-0034,Tarjun — Sei Durian,Tarjun,Sei Durian,150,New,2,SUTT,169.0,2026,Planned,Kalimantan Selatan,kalimantan,754,Tabel A12.15
RUPTL-KALIMANTAN-T-0035,PLTB Tanah Laut — Inc 2 phi (Mantuil-Asam- Asam),PLTB Tanah Laut,Inc 2 phi (Mantuil-Asam- Asam),150,New,2,SUTT,20.0,2026,Planned,Kalimantan Selatan,kalimantan,754,Tabel A12.15
RUPTL-KALIMANTAN-T-0036,Tarjun — PLTG / GU Kalselteng,Tarjun,PLTG / GU Kalselteng,150,New,2,SUTT,6.0,2027,Planned,Kalimantan Selatan,kalimantan,754,Tabel A12.15
RUPTL-KALIMANTAN-T-0037,PLTG / GU Kalselteng — Pulau Laut / L. Point Tarjun,PLTG / GU Kalselteng,Pulau Laut / L. Point Tarjun,150,New,2,SUTT,6.0,2028,Planned,Kalimantan Selatan,kalimantan,754,Tabel A12.15
RUPTL-KALIMANTAN-T-0038,Seberang Barito — Kayutangi,Seberang Barito,Kayutangi,150,,2,SUTT,38.0,2028,Planned,Kalimantan Selatan,kalimantan,754,Tabel A12.15
RUPTL-KALIMANTAN-T-0039,L. Point Pulau Laut — Pulau Laut,L. Point Pulau Laut,Pulau Laut,150,New,2,SUTT,3.0,2028,Planned,Kalimantan Selatan,kalimantan,754,Tabel A12.15
RUPTL-KALIMANTAN-T-0040,L. Point Tarjun — L. Point Pulau Laut,L. Point Tarjun,L. Point Pulau Laut,150,New,2,SKLT,8.0,2028,Planned,Kalimantan Selatan,kalimantan,754,Tabel A12.15
RUPTL-KALIMANTAN-T-0041,Rantau — Inc 1 phi (Barikin - Cempaka),Rantau,Inc 1 phi (Barikin - Cempaka),150,New,2,SUTT,1.0,2028,Planned,Kalimantan Selatan,kalimantan,754,Tabel A12.15
RUPTL-KALIMANTAN-T-0042,Sei Tabuk — Mantuil,Sei Tabuk,Mantuil,150,New,2,SUTT,20.0,2030,Planned,Kalimantan Selatan,kalimantan,754,Tabel A12.15
RUPTL-KALIMANTAN-T-0043,Cempaka — Ulin (GIS),Cempaka,Ulin (GIS),150,New,2,SUTT,63.0,2030,Planned,Kalimantan Selatan,kalimantan,754,Tabel A12.15
RUPTL-KALIMANTAN-T-0044,Barikin — Amuntai,Barikin,Amuntai,150,,2,SUTT,60.0,2030,Planned,Kalimantan Selatan,kalimantan,754,Tabel A12.15
RUPTL-KALIMANTAN-T-0045,Puruk Cahu — Kuala Kurun,Puruk Cahu,Kuala Kurun,150,New,2,SUTT,94.0,2025,Construction,Kalimantan Tengah,kalimantan,767,Tabel A13.12
RUPTL-KALIMANTAN-T-0046,Pangkalan Bun — PT KLM,Pangkalan Bun,PT KLM,150,New,2,SUTT,22.0,2025,Construction,Kalimantan Tengah,kalimantan,767,Tabel A13.12
RUPTL-KALIMANTAN-T-0047,Sebabi — Inc 2 phi (Pangkalan Banteng - Sampit),Sebabi,Inc 2 phi (Pangkalan Banteng - Sampit),150,New,4,SUTT,1.0,2027,Planned,Kalimantan Tengah,kalimantan,767,Tabel A13.12
RUPTL-KALIMANTAN-T-0048,Kalseltengtimra-5 (PLTS+BESS) 100 MW — GI Eksisting / Baru Sistem Kalseltengtimra,Kalseltengtimra-5 (PLTS+BESS) 100 MW,GI Eksisting / Baru Sistem Kalseltengtimra,150,New,2,SUTT,10.0,,Planned,Kalimantan Tengah,kalimantan,767,Tabel A13.12
RUPTL-KALIMANTAN-T-0049,Sudan — Add Inc 2 phi,Sudan,Add Inc 2 phi,150,New,2,SUTT,1.0,2029,Planned,Kalimantan Tengah,kalimantan,767,Tabel A13.12
RUPTL-KALIMANTAN-T-0050,PLTU Kalselteng 3 — Kasongan,PLTU Kalselteng 3,Kasongan,150,New,2,SUTT,40.0,2029,Planned,Kalimantan Tengah,kalimantan,767,Tabel A13.12
RUPTL-KALIMANTAN-T-0051,Buntok — Tamiang Layang,Buntok,Tamiang Layang,150,New,2,SUTT,92.0,2030,Planned,Kalimantan Tengah,kalimantan,767,Tabel A13.12
RUPTL-KALIMANTAN-T-0052,Amuntai — Tamiang Layang,Amuntai,Tamiang Layang,150,New,2,SUTT,81.0,2030,Planned,Kalimantan Tengah,kalimantan,767,Tabel A13.12
RUPTL-KALIMANTAN-T-0053,Timpah — Inc 2 phi (Buntok- Palangkaraya),Timpah,Inc 2 phi (Buntok- Palangkaraya),150,New,4,SUTT,1.0,2030,Planned,Kalimantan Tengah,kalimantan,768,Tabel A13.15
RUPTL-KALIMANTAN-T-0054,Buntok — Palangkaraya,Buntok,Palangkaraya,150,New,2,SUTT,300.0,2030,Planned,Kalimantan Tengah,kalimantan,768,Tabel A13.15
RUPTL-KALIMANTAN-T-0055,PLTU MT Hybrid Kalselteng 4 — GI Eksisting / Baru Sistem Kalseltengtimra,PLTU MT Hybrid Kalselteng 4,GI Eksisting / Baru Sistem Kalseltengtimra,150,New,2,SUTT,10.0,2032,Planned,Kalimantan Tengah,kalimantan,768,Tabel A13.15
RUPTL-KALIMANTAN-T-0056,Kotabaru II — Kasongan,Kotabaru II,Kasongan,150,New,2,SUTT,486.0,2033,Planned,Kalimantan Tengah,kalimantan,768,Tabel A13.15
RUPTL-KALIMANTAN-T-0057,PLTG / GU Kalteng — Pangkalan Bun,PLTG / GU Kalteng,Pangkalan Bun,150,New,2,SUTT,26.0,2027,Planned,Kalimantan Tengah,kalimantan,768,Tabel A13.15
RUPTL-KALIMANTAN-T-0058,GI PLTGU Kaltim -1 — GI 150 kV Sisipan Sanga-sanga - Bukuan,GI PLTGU Kaltim -1,GI 150 kV Sisipan Sanga-sanga - Bukuan,150,New,2,SUTT,17.0,2027,Planned,Kalimantan Timur,kalimantan,778,Tabel A14.9
RUPTL-KALIMANTAN-T-0059,GITET KFI — GITET Embalut,GITET KFI,GITET Embalut,500,New,2,SUTET,90.0,2031,Planned,Kalimantan Timur,kalimantan,778,Tabel A14.9
RUPTL-KALIMANTAN-T-0060,GITET KFI — GITET Balikpapan,GITET KFI,GITET Balikpapan,500,New,2,SUTET,157.0,2031,Planned,Kalimantan Timur,kalimantan,778,Tabel A14.9
RUPTL-KALIMANTAN-T-0061,Inc 2 Phi (Kariangau- Petung) — Tempadung,Inc 2 Phi (Kariangau- Petung),Tempadung,150,New,4,SUTT,4.0,2025,Construction,Kalimantan Timur,kalimantan,785,Tabel A14.16
