id,name,from_bus,to_bus,voltage_kv,action_type,circuits,line_type,length_km,target_cod_year,status,province,region_key,source_page,source_table
RUPTL-SUMATRA-T-0026,PLTA Sumatera (Kuota) Tersebar 200 MW — GI Eksisting / Baru Sumatera,PLTA Sumatera (Kuota) Tersebar 200 MW,GI Eksisting / Baru Sumatera,150,,,,20.0,2030,Planned,Aceh,sumatra,612,Tabel A1.15
RUPTL-SUMATRA-T-0027,PLTA Sumatera (Kuota) Tersebar 200 MW — GI Eksisting / Baru Sumatera,PLTA Sumatera (Kuota) Tersebar 200 MW,GI Eksisting / Baru Sumatera,150,,,,20.0,2031,Planned,Aceh,sumatra,612,Tabel A1.15
RUPTL-SUMATRA-T-0028,PLTA Sumbagut (Kuota) Tersebar 400 MW — GI Eksisting / Baru Sumatera,PLTA Sumbagut (Kuota) Tersebar 400 MW,GI Eksisting / Baru Sumatera,150,,,,20.0,2031,Planned,Aceh,sumatra,612,Tabel A1.15
RUPTL-SUMATRA-T-0029,PLTA Sumbagut (Kuota) Tersebar 161 MW — GI Eksisting / Baru Sumatera,PLTA Sumbagut (Kuota) Tersebar 161 MW,GI Eksisting / Baru Sumatera,150,,,,20.0,2031,Planned,Aceh,sumatra,612,Tabel A1.15
RUPTL-SUMATRA-T-0030,PLTA Sumbagut (Kuota ISJ) Tersebar 650 MW** — GI Eksisting / Baru Sumatera,PLTA Sumbagut (Kuota ISJ) Tersebar 650 MW**,GI Eksisting / Baru Sumatera,150,,,,20.0,2031,Planned,Aceh,sumatra,612,Tabel A1.15
RUPTL-SUMATRA-T-0031,PLTA Sumbagut (Kuota ISJ) Tersebar 500 MW** — GI Eksisting / Baru Sumatera,PLTA Sumbagut (Kuota ISJ) Tersebar 500 MW**,GI Eksisting / Baru Sumatera,150,,,,20.0,2032,Planned,Aceh,sumatra,612,Tabel A1.15
RUPTL-SUMATRA-T-0032,PLTGU Sumatera-2 200 MW — GI Eksisting / Baru Sumatera,PLTGU Sumatera-2 200 MW,GI Eksisting / Baru Sumatera,150,,,,10.0,2033,Planned,Aceh,sumatra,612,Tabel A1.15
RUPTL-SUMATRA-T-0033,PLTA Sumbagut (Kuota ISJ) Tersebar 300 MW** — GI Eksisting / Baru Sumatera,PLTA Sumbagut (Kuota ISJ) Tersebar 300 MW**,GI Eksisting / Baru Sumatera,150,,,,20.0,2033,Planned,Aceh,sumatra,612,Tabel A1.15
RUPTL-SUMATRA-T-0034,PLTB Sumatera (Kuota) Tersebar 100 MW — GI Eksisting / Baru Sumatera,PLTB Sumatera (Kuota) Tersebar 100 MW,GI Eksisting / Baru Sumatera,150,,,,10.0,2034,Planned,Aceh,sumatra,612,Tabel A1.15
RUPTL-SUMATRA-T-0035,PLTA Sumbagut (Kuota) Tersebar 100 MW — GI Eksisting / Baru Sumatera,PLTA Sumbagut (Kuota) Tersebar 100 MW,GI Eksisting / Baru Sumatera,150,,,,20.0,2034,Planned,Aceh,sumatra,612,Tabel A1.15
RUPTL-SUMATRA-T-0036,Sumatera (PLTS+BESS)-2 — GI Eksisting / Baru Sumatera,Sumatera (PLTS+BESS)-2,GI Eksisting / Baru Sumatera,150,,,,10.0,,Planned,Aceh,sumatra,612,Tabel A1.15
